"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"28.01.2021","382","49","17"
"27.01.2021","463","58","25"
"26.01.2021","543","49","23"
"25.01.2021","161","37","18"
"24.01.2021","153","31","10"
"23.01.2021","439","45","12"
"22.01.2021","463","43","29"
"21.01.2021","498","54","24"
"20.01.2021","480","53","23"
"19.01.2021","462","55","28"
"18.01.2021","232","34","12"
"17.01.2021","202","27","16"
"16.01.2021","351","38","22"
"15.01.2021","405","65","21"
"14.01.2021","420","46","14"
"13.01.2021","482","52","20"
"12.01.2021","406","49","19"
"11.01.2021","257","46","15"
"10.01.2021","138","18","15"
"09.01.2021","408","40","15"
"08.01.2021","519","45","19"
"07.01.2021","478","33","13"
"06.01.2021","529","48","27"
"05.01.2021","538","62","12"
"04.01.2021","262","36","17"
"03.01.2021","205","39","12"
"02.01.2021","265","38","26"
"01.01.2021","136","15","7"
"31.12.2020","353","46","14"
"30.12.2020","461","37","15"
"29.12.2020","571","61","41"
"28.12.2020","266","38","31"
"27.12.2020","187","23","15"
"26.12.2020","196","26","9"
"25.12.2020","174","22","5"
"24.12.2020","360","39","15"
"23.12.2020","664","53","28"
"22.12.2020","583","43","24"
"21.12.2020","271","40","16"
"20.12.2020","193","21","7"
"19.12.2020","430","32","10"
"18.12.2020","549","45","16"
"17.12.2020","481","28","10"
"16.12.2020","520","50","25"
"15.12.2020","496","35","15"
"14.12.2020","212","21","9"
"13.12.2020","142","23","3"
"12.12.2020","438","36","7"
"11.12.2020","424","21","6"
"10.12.2020","460","28","24"
"09.12.2020","337","30","12"
"08.12.2020","354","22","10"
"07.12.2020","178","24","3"
"06.12.2020","118","11","5"
"05.12.2020","258","26","8"
"04.12.2020","269","16","5"
"03.12.2020","249","25","11"
"02.12.2020","280","12","3"
"01.12.2020","207","15","3"
"30.11.2020","107","10","4"
"29.11.2020","76","6","0"
"28.11.2020","169","10","2"
"27.11.2020","227","13","4"
"26.11.2020","235","22","8"
"25.11.2020","268","20","2"
"24.11.2020","220","13","0"
"23.11.2020","150","13","2"
"22.11.2020","114","5","1"
"21.11.2020","142","10","0"
"20.11.2020","269","16","1"
"19.11.2020","231","13","2"
"18.11.2020","234","13","0"
"17.11.2020","246","17","2"
"16.11.2020","127","20","5"
"15.11.2020","100","8","0"
"14.11.2020","189","16","1"
"13.11.2020","288","19","3"
"12.11.2020","226","24","1"
"11.11.2020","284","16","4"
"10.11.2020","211","18","2"
"09.11.2020","246","20","3"
"08.11.2020","154","7","1"
"07.11.2020","248","11","1"
"06.11.2020","231","18","3"
"05.11.2020","257","14","3"
"04.11.2020","246","18","7"
"03.11.2020","219","13","0"
"02.11.2020","174","17","5"
"01.11.2020","149","12","2"
"31.10.2020","240","16","7"
"30.10.2020","301","19","3"
